('今日有一只新股：密尔克卫。别忘记申购哦，点赞的都中签！', '2018-07-03 21:36:03')
('【证监会核发2家企业IPO批文 筹资总金额不超过9亿元】证监会今日核准了以下企业的首发申请，上交所主板：密尔克卫化工供应链服务股份有限公司，深交所中小板：武汉明德生物科技股份有限公司。其中，武汉明德生物科技股份有限公司将直接定价发行。上述企业及其承销商将分别与沪深交易所协商确定发行日程 ...展开全文c', '2018-06-22 07:27:48')
('【新股： 密尔克卫 603713的简析】', '2018-07-03 05:32:57')
('锂电池第一龙头,机构751亿抢筹高送转获批,或复制合肥城建疯涨 $密尔克卫 sh603713$ $海南瑞泽 sz002596$ $力帆股份 sh601777$ $沈阳化工 sz000698$ 姚晓浪的秒...', '2018-07-22 17:26:18')
('网页链接 化工供应链商密尔克卫[股评]登陆资本市场半年报业绩强劲增长秋实经过20余年在化工物流领域的深耕，坚持着安全、奋斗、科技基...|化工供应链...', '2018-07-20 21:31:40')
('中了一只密尔克卫', '2018-07-20 14:27:05')
('热点龙头行业今天领涨的是银行板块，领涨股是成都银行。3日领涨的是保险板块，龙头是新华保险。概念今天领涨的是美团概念板块，领涨股是浪潮信息。3日领涨的是次新股板块，龙头是密尔克卫。区域今天领涨的是湖北板块，领涨股是明德生物。3日领涨的是广西板块，龙头是柳钢股份。主力资金净流入最多 ...展开全文c', '2018-07-20 04:46:43')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！东方环宇(sh603706) 密尔克卫(sh603713) 明德生物(sz002932) 长飞光纤(sh601869) 春光科技(sh603657) 长城军工(sh601606)', '2018-07-19 08:44:59')
('热点龙头行业今天领涨的是保险板块，领涨股是中国太保。3日领涨的是工艺商品板块，龙头是德艺文创。概念今天领涨的是次新股板块，领涨股是密尔克卫。3日领涨的是昨日涨停板块，龙头是惠伦晶体。区域今天领涨的是广西板块，领涨股是南宁糖业。3日领涨的是广西板块，龙头是南宁糖业。主力资金净流入 ...展开全文c', '2018-07-19 05:07:18')
('两个月内连中四只新股，分别是工业富联、南京证券、芯能科技、密尔克卫，谁有我这么好的运气？', '2018-07-18 10:55:40')
('$密尔克卫 sh603713$ 密尔克卫价值评估及操作指南(2018年07月18日)今日点评：短期趋势上升，中期趋势上升；短期压力位23.46元，支撑位14.20元，量价配合度INF，处于价量齐升的状态；个股综合评级★★★☆，技术趋势较为强势。操作建议：中期方向不明，暂时观望\ue627 今日看盘 ...展开全文c', '2018-07-18 09:07:53')
('发表了博文《沪深A股7月18日涨停总结》（榜单范围：沪深A股当日涨停股。不包括以下品种：ST股、S股、DR股。）未开板新股（4支）：明德生物芯能科技东方环宇密尔克卫五连板（1支）：通产丽星我国首条吨级|沪深A股7月...', '2018-07-18 04:17:15')
