('曲江文旅 彩虹股份 光明地产 ST生态 ST常林 盛屯矿业 股海大咖的...', '2018-07-24 05:22:12')
('均线与K线组合解密，讲解下均线多头选股技巧#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-24 05:05:13')
('A股牛股专家研究出KDJ买卖战法 看完少走弯路！$彩虹股份 sh600707$ $光明地产 sh600708$ $盛屯矿业 sh600711$ 壹支小仙女...', '2018-07-24 03:09:47')
('软件信息第一龙头，主力携手机构6.5亿抢筹，后市即将暴涨拉升！$向日葵 sz300111$$$武钢股份 sh600005$$盛屯矿业 sh600711$ 江雅凡分析...', '2018-07-24 02:59:48')
('学会就能赚！永不过时的短线选股战法——单阳不破#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-24 01:58:44')
('中国股市极其精辟的选股公式，出手就是强势黑马股（附源码）#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-24 01:50:53')
('一位顶尖操盘手首爆“底部双雄”战法，背熟分分钟擒拿大黑马，值得借鉴学习$盛屯矿业 sh600711$$张江高科 sh600895$$中国平安 sh601318$ 杨超分析的...', '2018-07-24 01:44:07')
('低位黑马强势股那么多，到底选哪只？#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-24 01:20:13')
('我刚刚调仓了微博股票组合网页链接，以成交价9.81买入$盛屯矿业 sh600711$。', '2018-07-23 22:53:52')
('操盘手绝不会告诉你，原来靠这几招就能稳赚不赔$彩虹股份 sh600707$ $光明地产 sh600708$ $盛屯矿业 sh600711$ 壹支小仙女...', '2018-07-23 22:25:01')
('【有色金属行业景气度有望持续 机构扎堆看好5只个股】机构评级方面，近30日内，共有22只个股获机构给予“买入”或“增持”等看好评级。其中，华友钴业（5家）、寒锐钴业（5家）、盛屯矿业（5家）、铜陵有色（3家）、云铝股份（3家）等5只个股均获得3家及以上机构扎堆看好。此外，获得机构推荐的个股还 ...展开全文c', '2018-07-23 21:15:03')
('重大利好消息:龙宇燃油 佳都科技 美的集团 鹏起科技 $盛屯矿业 sh600711$ $中原证券 sh601375$ $威尔泰 sz002058$ $雪浪环境 sz300385$ 姚晓浪的秒...', '2018-07-23 09:37:59')
('一旦发现“三线金叉”形态股票，出手都是涨停板，散户看见必须买入！$康美药业 sh600518$$盛屯矿业 sh600711$$比亚迪 sz002594$ 江雅凡分析...', '2018-07-23 08:06:22')
('牢记这些炒股技巧，大道至简，简单的才是最有效的！#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-23 05:30:39')
('发布了头条文章：《本周操作策略解读：永辉超市 盛屯矿业 三钢闽光 农业银行》$永辉超市 sh601933$ $盛屯矿业 sh600711$ $三钢闽光 sz002110$ $农业银行 sh601288$ #微博股票# |本周操作策...', '2018-07-23 02:47:45')
('白酒真龙头严重被低估，10转15高送转47亿重组，业绩爆表$向日葵 sz300111$$武钢股份 sh600005$$盛屯矿业 sh600711$ 杨超分析的...', '2018-07-23 01:24:56')
('炒股绝技：如何捕捉强势股、涨停板？一根均线帮你忙（附公式）#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-22 23:08:05')
('$盛屯矿业 sh600711$ 不忘初心，市场给予我们的利润都是来源跟随！', '2018-07-22 23:07:26')
('经历过两次牛市的投资者告诉你：周线选股技巧选黑马三要素#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-22 22:54:12')
('曲江文旅 彩虹股份 光明地产 盛屯矿业！#烽火通信 sh600498[股票]# #千金药业 sh600479[股票]# #保利地产 sh600048[股票]# 许楚沛分析...', '2018-07-22 09:19:40')
('一旦遇到此形态，买入将知目标价位在多少？散户千万珍藏！$彩虹股份 sh600707$ $光明地产 sh600708$ $盛屯矿业 sh600711$ 壹支小仙女...', '2018-07-22 08:04:57')
('中国股市无人知晓的秘密：选股坚持只看一条线，值得读10遍#盛屯矿业 sh600711[股票]# #华谊兄弟 sz300027[股票]# #方大炭素 sh600516[股票]# 智超财经的...', '2018-07-22 05:37:57')
('就在刚刚，A股风口放出紧急消息：士兰微 西部建设 紫金矿业 科大讯飞$盛屯矿业 sh600711$$张江高科 sh600895$$中国平安 sh601318$ 江雅凡分析...', '2018-07-22 04:11:52')
('昔日王者强势回归：士兰微 西部建设 紫金矿业 科大讯飞$南方航空 sh600029$$康美药业 sh600518$$盛屯矿业 sh600711$ 杨超分析的...', '2018-07-22 02:10:17')
('一招均线操盘法，轻松圈住大牛股，一逮一个准$彩虹股份 sh600707$ $光明地产 sh600708$ $盛屯矿业 sh600711$ 壹支小仙女...', '2018-07-22 01:15:22')
